	18607X10	18607X11	18607X12	18607X13	18607X14	18607X15	18607X16	18607X17	18607X18	18607X19	18607X1	18607X20	18607X21	18607X22	18607X23	18607X24	18607X25	18607X26	18607X27	18607X28	18607X29	18607X2	18607X30	18607X3	18607X4	18607X5	18607X6	18607X7	18607X8	18607X9
HRA1	4.561957952572074	8.558636565475291	6.551841965854412	6.25296152873822	7.693636348538302	6.188819103067841	7.900341106356067	3.598271063449466	3.1695833631756134	2.431017961991354	5.238100956581478	3.8372865755096077	5.440832622448923	4.564052246751412	5.190183664676563	3.7091859873091053	3.6432111209324867	3.7637449698565137	5.319094579252498	4.832823927195151	4.76274772077269	5.0900449228084375	3.527707843137433	6.302925186882071	7.070027619026969	6.448609714031607	5.768518534348834	4.323191874179746	5.032544624269954	4.548171326076456
ICR1	2.997832154800552	3.1550380382319894	3.5066237646034533	3.7403840341824877	3.481496710892168	2.7697670220573416	1.6508093534728943	4.511242829574239	4.749916424840228	4.01326253795225	3.0013876378286493	4.2621590059708465	4.116766290289971	3.778430086224255	3.758264999005514	3.8204353259982433	3.9743344824239277	5.350012289521735	4.518411297934458	3.4822973663533183	4.45039246231126	3.1409029939430617	4.713748049361639	4.686524744471021	4.8612793844362985	4.060438394491388	3.7091288841937744	3.6416258321213983	3.7033596930626738	3.820654595378644
LSR1	4.7776141466936615	3.3612099966230233	2.4709803985508065	8.36110284414139	10.340247252435475	9.940195605542808	7.0225254278720595	5.085556436341911	3.4774857470269582	2.6520195948996585	4.525719226486396	5.617787546546066	4.135032793061181	4.571989728919675	8.363610248221661	9.651692379608532	3.6067790097231613	2.032422283722517	4.758171878167689	2.4206144191864403	2.0575070153738015	3.298349109979867	10.159798588235807	2.3677075484635255	4.637938118081691	3.6480706382235946	5.53777779297488	5.533685598950073	7.877026368422534	7.319880440085401
NME1	5.159647630850232	17.20880935090219	8.539417553815287	1.8522428057816993	2.1270641669488244	3.1588180761359834	5.339184773838022	3.316053725139703	5.2577794612677815	6.232246048014196	2.606725534863488	10.184610016881969	12.409899113850408	12.508538075751439	11.684455493839083	6.476721042855527	2.64400689438262	3.1216943573515787	5.213850461908999	9.062471875753157	8.690613782256989	2.533045885115257	8.31577941722861	4.545843740922618	7.427687839754214	4.202434313639925	4.503037305706217	6.374588802712094	7.622181397679452	5.769410408787642
PWR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2891950867506793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.07286729779809259	0.0	0.32890421617640303	0.0	0.0	0.0	0.10282202339874977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06513715146590078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39146625155524095	0.0	0.0	0.0	0.0	0.16879752281324858	0.07688893859104032	0.0
Q0050	0.04668743032572399	0.2919658273107158	0.05268375917795678	0.050280443430401424	0.1732219920389462	0.0535927218506105	0.13175995812773925	0.0	0.050973624660138175	0.049758451481151274	0.058967843104031005	0.17279278471755838	0.15312522949407148	0.3127463033962436	0.08346916415390879	0.0	0.0	0.0	0.0	0.0	0.05361656116797998	0.0	0.25081969411024424	0.0	0.0	0.0	0.19099709130989445	0.21630341246727666	0.04926417023497793	0.18070930805967741
Q0055	0.0	0.11405448692605741	0.1029027810844302	0.04910429270688326	0.05639000520566085	0.05233909093012839	0.06433892692202473	0.0	0.049781259171012136	0.04859451109562727	0.057588478353059525	0.12656313617470283	0.0	0.08726588582652078	0.0	0.08585127308268535	0.0	0.0	0.05316266777774958	0.04620243571384126	0.0	0.0	0.0816508555875454	0.0	0.0	0.0	0.037305864618423834	0.05281092088016843	0.24055895991933668	0.17648218974249197
Q0060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0065	0.06998923576657008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0085	0.0	0.0	0.0	0.0	0.1854363632724616	0.0	0.0	0.0	0.0	0.0	0.1893774961225611	0.0	0.0	0.0	0.0	0.2823186095603691	0.0	0.0	0.0	0.0	0.0	0.0	0.1342528490910602	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0105	0.0	0.0	0.0	0.0	0.0	0.11593244234523258	0.0	0.0	0.0	0.10763810100197232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21313773132749522	0.13030420745235807
Q0110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.170143838725426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05881368109272296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061820160462181965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06437493293616052	0.0
Q0130	0.5062857704153186	1.2664491730101177	0.0	0.0	0.0	0.0	0.0	0.48807717166558406	0.0	0.0	0.0	0.4684479715557183	0.0	0.0	1.810305248532827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4533213086191643	0.0	0.0	0.0	0.41424044478899186	1.172813957208935	1.0684566791222485	1.9596398990887096
Q0140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
