	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
WTM1	9.70968	6.46402	8.23484	5.91744	13.8125	1.77295	3.88984	1.8627	6.11867	7.14932	6.13901	3.85496	9.93051	4.10738	8.53362	2.50257
SWP1	7.42932	8.80692	9.2562	8.26787	6.12731	5.09388	4.92585	4.26687	8.70064	6.48859	5.30692	5.39739	8.40041	3.93712	5.07451	2.52021
DFG10	5.6358	7.5124	7.85514	8.36293	6.34925	5.75179	5.66741	6.93334	6.37584	5.91448	4.61752	5.60567	8.0936	4.93635	7.25385	3.13462
RPP2B	8.06643	7.65902	10.7295	7.62926	5.53249	2.46904	3.85209	2.62769	7.08982	6.60015	7.29688	5.14022	7.68575	4.04117	10.8622	2.71835
RPL24B	7.31006	7.88685	9.20316	8.39748	6.5184	2.80255	3.80183	4.28112	7.10921	6.75378	6.02832	5.22208	8.01454	4.84144	9.22921	2.59997
CYR1	10.885	7.55644	8.05571	8.58577	6.08951	2.28339	4.52994	3.82242	5.58513	8.34704	7.58912	5.33947	6.23303	4.78466	7.49733	2.81605
SDA1	10.9543	11.5985	8.25086	10.8434	9.11604	1.13676	1.3781	1.23944	8.93672	7.97622	7.91277	7.04628	5.29845	2.30637	4.29254	1.71335
YNL208W	7.40727	9.80207	9.35758	9.59644	5.06908	5.8702	3.89533	4.39612	7.0011	6.63056	6.88518	7.15831	5.99978	3.17019	5.41879	2.342
NOP6	10.4346	6.73663	8.29251	7.28213	16.4947	3.31825	2.65226	3.62514	6.61248	5.89181	6.37147	6.17466	5.65833	2.71951	4.74315	2.99238
RPL1B	9.1324	7.39381	8.78187	8.6431	6.54617	2.65945	3.49181	3.45001	8.40207	6.53221	5.50621	5.51464	9.20195	4.46969	8.12038	2.15422
DAK2	0.986151	3.15058	2.79878	7.75074	7.44368	15.0157	11.7983	18.5781	1.0669	3.23031	3.24345	3.68663	2.2603	7.21715	6.16886	5.60433
