	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
ALB	0.414344	0.527028	0.542527	0.51001	1.4885	0.524864	0.603558	0.520573	0.469653	0.355825	90.787	1.05238	0.397242	0.584122	0.62205	0.600318
ULI1	0.283344	0.736999	0.581724	0.578425	0.717784	0.60116	0.619995	0.638576	35.8597	18.8704	17.0857	15.5437	1.45798	3.09404	2.30206	1.02842
NQM1	0.467506	0.447015	0.61787	0.54847	0.530967	0.293666	0.451224	0.305611	4.64592	22.2205	13.1107	28.2858	8.39795	4.54222	11.9782	3.15635
ALB	0.781129	1.12604	1.30587	1.55527	1.87842	0.485434	3.43763	0.995194	1.21694	0.263587	82.4305	1.17854	0.575926	0.826589	0.927674	1.01521
PDR12	0.977802	0.747054	1.06407	1.23732	5.18521	7.75096	3.3645	3.74871	9.57562	16.0098	23.2819	20.6844	1.34711	2.18061	2.11172	0.733245
SSA3	0.659868	0.440032	0.717128	0.525838	0.665156	0.415624	0.759305	0.467766	8.70889	8.44893	8.32974	6.05144	21.2754	12.2125	21.303	9.01931
POT1	1.00917	0.969419	1.24729	1.17561	3.07323	3.23354	3.11737	2.96094	9.91368	18.3133	17.2392	13.7125	6.79001	6.19249	5.99097	5.06121
OYE3	0.922615	0.719922	1.10892	0.999505	0.288144	0.254378	0.389888	0.373647	11.1922	11.2318	15.2179	12.2249	11.6216	9.38733	16.8253	7.24195
HXT5	0.894368	0.589453	1.01717	0.858474	5.59195	4.98803	6.55475	7.41568	8.7405	9.32087	13.1603	8.60566	10.5874	4.83973	8.35344	8.48223
DAL7	1.16244	1.00257	1.08277	1.0723	1.77751	1.66701	2.26018	1.9436	9.70638	12.4586	16.4788	12.0255	8.67672	9.84318	12.4958	6.34657
SFC1	1.1169	1.00888	1.53353	1.7299	0.355701	0.435618	0.497223	0.475903	11.0887	12.1973	15.0946	18.9894	5.39683	9.13264	9.8152	11.1316
FOX2	2.01905	1.32951	1.25178	1.76945	2.39416	2.58672	2.23665	2.77809	22.2243	14.7833	13.9905	14.5496	6.10803	4.82366	3.56755	3.5877
SIP18	0.942627	0.528684	0.440786	0.305082	1.10521	1.43969	1.32749	0.911407	3.2883	6.04697	6.78031	4.62834	14.8831	17.4598	23.9977	15.9146
CTA1	1.5846	1.32859	1.28054	1.5034	9.09269	9.07387	5.84879	8.86669	17.3332	13.0514	11.7088	11.1214	2.7628	1.90231	1.42077	2.12014
YDL218W	4.21569E-05	0.934314	0.828708	0.797766	1.33572	2.7887	1.20207	2.90104	3.48614	5.90531	7.94908	5.07494	17.916	8.42975	17.3357	23.1147
IDP2	2.07962	1.45968	1.91992	2.30197	1.22406	0.726109	1.36873	0.988078	13.199	19.0804	16.5501	15.0856	7.25919	5.02285	8.37672	3.35802
PMA2	1.36818	1.03327	1.03949	1.30863	5.86065	5.17785	6.09341	5.50916	8.13092	8.57429	10.5643	6.92515	13.7807	6.59853	8.12641	9.909
BNA2	2.63051	3.32913	2.16028	2.85171	1.03284	1.15384	1.28296	0.783371	16.9063	35.342	13.0662	11.6135	1.96034	2.14746	2.14818	1.59142
YIR035C	2.16215	1.65626	1.79799	1.62522	1.31071	0.900304	1.42069	0.876503	10.4541	18.5283	14.5816	6.77129	11.7674	8.85831	13.1916	4.09748
PCK1	1.97013	1.10265	1.78103	1.61768	2.67599	2.19262	4.71123	1.95179	9.84591	9.18524	13.5157	11.1543	12.4286	5.74479	13.8871	6.23532
AI4	1.6882	1.87123	2.04788	2.05972	0.374676	0.653465	0.428635	0.408128	9.98723	10.6734	14.1593	15.5852	7.54063	10.0406	8.37773	14.1039
AAC1	1.21344	1.94574	1.58365	1.64528	3.079	4.71775	4.67892	4.93431	9.78412	7.66742	10.0903	13.5927	8.59614	7.06588	8.75578	10.6496
YKL065W-A	0.973773	1.48453	1.60415	1.62361	0.97036	1.83435	1.63058	1.25185	8.67339	6.93616	8.5129	9.59081	10.9329	9.68158	11.4371	22.862
HSP26	1.31933	1.03203	1.45404	1.25119	0.661817	0.391901	0.618275	0.805345	6.78454	7.68628	8.71491	6.48084	19.0155	13.2036	21.6793	8.90099
YPL088W	2.55922	2.39249	2.17094	2.94418	1.61796	1.54309	1.11458	1.7654	12.0688	10.4917	14.3537	21.3361	7.46355	5.42577	9.08967	3.66278
ACS1	0.93281	1.81126	1.63372	1.39566	12.48	6.22627	9.54642	6.91609	5.12001	12.8757	9.14847	5.94576	6.58412	6.4129	7.82783	5.14295
YMR118C	0.8247	1.3612	0.729957	0.955418	1.56416	2.0649	1.60752	1.86362	4.6646	4.71988	5.15564	7.25976	12.7269	11.3816	14.0455	29.0747
SRM1	3.94169	2.67266	2.63408	1.99185	5.87102	0.780939	0.522414	0.808651	8.60856	21.7311	8.34847	23.4729	11.924	1.95191	3.63628	1.10346
TKL2	1.6505	1.67959	2.2356	2.02063	2.09233	1.28539	2.75692	2.16741	9.75927	12.9751	10.0271	9.17671	12.1165	9.36383	14.5835	6.10962
FMP45	1.8118	0.872028	1.31623	2.11793	7.91142	6.9609	8.40285	8.84017	7.56716	7.22277	10.6799	8.27743	7.71007	5.42419	8.08805	6.79713
RIM11	3.13453	2.44906	2.92858	3.01086	2.24079	1.39141	2.01658	1.57773	9.34241	26.8006	20.2014	6.43039	4.83636	3.96755	6.95456	2.71724
RTC4	3.0485	1.91981	2.71596	4.36381	2.30907	1.221	2.80963	2.92543	8.83892	26.4531	19.4938	8.91257	4.72861	2.15528	7.02776	1.07674
NGL3	1.15575	2.02576	1.17997	2.2828	1.97507	1.44172	2.83927	1.8681	6.49254	7.31703	11.011	9.86985	11.4366	11.3134	15.0604	12.7308
LDB18	0	0.378726	0.921888	1.33174	1.5267	8.23466	4.85468	7.39454	0.644561	3.53341	4.14886	5.16995	1.43591	27.5052	3.74456	29.1746
ALD3	2.39097	1.69255	2.42436	1.92831	2.18892	1.13018	2.44013	1.34257	11.5019	10.8588	10.907	8.76913	13.8196	8.6667	14.2238	5.71518
Q0255	0.759258	1.42691	1.08701	1.37571	0.150888	0.218848	0.146962	0.118599	4.28971	4.7928	6.54057	7.40324	11.3317	17.2275	13.2866	29.8437
YPR127W	2.97203	1.87031	2.25037	1.7351	1.66117	0.925615	1.85321	1.07922	10.298	14.9939	12.1756	6.11015	13.1291	9.04922	13.9772	5.91988
HSP31	2.17976	1.71206	2.59242	2.01645	1.51582	1.10096	1.7157	1.04134	10.3202	10.0559	12.378	9.04941	12.5655	9.01385	17.0044	5.73815
SSA4	2.10271	1.30915	1.73589	1.30641	2.60796	1.50483	2.44654	0.681398	8.63992	7.74969	8.39731	6.85782	15.9175	11.8868	19.9403	6.91583
CRG1	3.05655	2.33525	2.52157	2.56045	2.03736	1.0442	2.34662	1.60688	10.848	17.0641	13.8143	8.48886	10.1644	6.75989	11.4222	3.92942
TRR2	0.507359	0.315237	0.444247	0.443614	4.20162	6.61867	7.30474	9.81283	2.28345	1.91781	2.18992	1.80804	3.45614	22.1544	3.31909	33.2229
MET3	2.46576	2.60694	2.94021	3.86691	1.03623	0.9551	0.319209	0.810377	8.95537	17.2005	18.165	12.2962	7.87604	5.9024	11.2095	3.39433
ARI1	2.01776	2.14912	2.20088	2.14524	1.94279	1.34599	2.67258	1.95524	9.5628	9.39868	11.5164	9.34121	11.9009	9.89409	17.1542	4.80207
TSR3	0.689732	0.126089	0.0374491	0.372583	13.2764	23.5134	23.1979	10.4304	1.74328	1.18588	1.30734	1.37249	1.03018	7.17807	0.94469	13.5942
YHR177W	4.54968	2.51443	2.78133	2.47751	1.5928	0.753795	1.05853	0.820097	11.7006	18.2043	9.03035	16.928	14.9307	3.02497	7.0678	2.56511
SER3	2.80743	2.33985	2.6414	2.48654	2.02856	1.25336	2.2787	1.36927	11.1726	13.2404	11.4094	9.50803	11.5506	9.34965	12.7609	3.80322
HGH1	4.51161	2.59563	3.46443	3.36908	2.26688	0.915509	1.95298	1.13171	10.5174	26.4658	17.9825	5.73517	5.44529	4.67913	7.00193	1.96497
YMR090W	1.83833	1.54836	2.24528	1.75857	1.66482	1.49195	2.43451	1.96587	7.389	7.75996	9.41015	7.06022	14.1972	11.4278	19.8443	7.96363
CTT1	2.23837	3.15187	3.34444	3.2499	1.15215	1.28024	1.80557	1.68759	11.4157	12.6503	12.9617	13.9651	7.37701	6.80246	9.08857	7.82901
SCEI	1.42095	2.409	2.18121	1.59347	0	0	0.307434	0.519123	5.57196	6.86367	9.27994	10.3965	10.1481	16.9479	9.0095	23.3512
HSP12	1.60981	1.47685	2.66692	2.23741	1.98255	1.93687	3.41293	2.34065	5.83563	10.0932	9.82995	7.20105	9.71327	14.8879	16.8388	7.93621
YGR115C	1.0251	1.9112	2.13184	4.24369	1.17987	2.02219	2.1668	2.44462	7.4998	9.39764	10.8046	10.2255	10.008	11.1115	17.2415	6.58626
PLP1	4.37315	3.14767	3.38165	4.1093	2.15904	1.93988	1.86451	2.06533	9.17041	26.742	16.6258	6.9395	5.62819	3.50826	5.93173	2.4136
HBT1	1.58267	1.98237	2.1318	1.5557	7.65188	4.67132	8.58507	5.52908	5.90287	7.52744	8.33123	6.4291	7.67531	9.61233	8.41477	12.4171
HHF1	5.91806	3.10775	2.86166	2.4313	8.04608	1.78909	1.34622	2.0535	6.8094	19.7268	6.9546	18.9728	10.8795	2.8094	2.65156	3.64224
GPX1	2.99516	4.02853	3.3967	3.88049	1.15002	0.688873	0.771044	0.640555	9.25167	11.1852	14.1274	17.4826	8.12103	6.03079	11.156	5.09402
RTT106	4.73457	3.14681	4.01489	3.53715	4.78766	1.01525	1.22342	0.784454	9.0161	23.5766	9.26934	13.8603	12.488	2.33154	4.84739	1.36648
ICL1	1.99867	2.28544	2.72473	2.57115	0.953919	1.39416	2.00556	2.26897	6.78702	9.68345	9.7823	8.24396	10.5923	15.1035	17.7151	5.88966
YGR201C	1.60698	1.75336	1.51052	2.63527	1.33963	0.930451	1.84736	1.59165	5.52645	7.44107	7.49708	6.44152	15.8678	11.3698	23.3709	9.27017
IOC3	5.84022	3.82102	3.75595	3.23746	5.81285	0.621347	0.47641	0.679396	8.62432	19.8148	8.29134	22.9035	9.68513	1.8405	3.71565	0.880145
SNZ3	5.51055	3.49479	5.10682	3.2768	0.860797	0.730705	1.08628	0.489543	18.6888	14.3553	15.9411	12.9914	6.85251	3.0623	5.40709	2.14515
LDB17	7.41389	3.2538	3.00591	3.23832	3.29768	1.52332	1.23294	1.49517	10.8734	30.6388	14.5435	3.3085	6.72457	3.64218	5.80791	0
GRE2	3.41042	2.57389	3.7615	2.9326	2.91692	1.73073	3.6648	2.445	10.5853	10.3292	13.1872	10.2703	9.48569	6.83919	11.4131	4.45404
GEP4	2.64236	3.69063	3.46563	3.39774	1.61441	1.90014	1.68076	1.88199	9.6228	9.52201	12.0366	14.8605	7.13624	8.49153	9.27438	8.78231
YNL194C	1.89809	1.35207	1.85586	2.75373	6.20495	7.50647	8.14902	10.319	4.83518	6.23507	8.61895	7.39942	7.96651	8.49053	10.2403	6.17484
AHP1	2.79328	1.61721	2.33254	1.59633	2.7665	1.66083	3.50336	2.53146	7.15327	6.49981	8.66728	6.00819	14.041	11.4057	21.0471	6.37617
YOR289W	3.77092	2.69463	3.07172	3.17948	3.52109	3.34369	3.97064	4.16308	8.07608	18.0388	11.5983	5.0125	6.43732	7.274	6.68899	9.15875
PPM1	7.02632	3.13846	3.62904	3.4646	2.73247	1.75486	2.01798	1.75731	12.1737	25.8856	15.3389	4.52023	6.02838	3.63488	4.5304	2.36681
STR3	2.79931	2.30714	2.91287	3.61231	4.82761	4.6728	4.30556	5.90716	14.6094	7.95048	8.42526	7.94969	10.3139	8.07145	5.72409	5.61096
MXR1	2.26756	1.91458	2.84501	2.17398	2.33364	2.53437	3.5638	3.45936	6.99884	7.33132	9.02522	7.2679	8.89572	13.3667	12.5192	13.5028
POX1	3.67685	2.66476	2.36245	3.48178	8.75456	9.61108	6.05172	7.12402	13.3917	10.0341	8.27331	8.82711	5.50721	4.16512	3.15314	2.92112
YGP1	2.96349	2.8246	3.00044	2.64115	0.693835	0.411743	0.643474	0.490297	11.3465	7.03674	12.8631	6.65488	17.9676	6.2394	20.7794	3.44332
HTA2	6.56056	3.50148	3.65736	2.94236	8.95676	0.963913	0.582798	1.05934	7.79102	19.7491	7.92606	19.6582	10.5619	1.7637	3.04896	1.27646
ISU2	1.90848	2.23963	1.96804	1.57367	4.54926	7.30501	6.76779	6.09187	6.17844	5.5624	6.62759	7.01696	5.05409	12.2518	4.7039	20.201
RPP1	1.75894	2.96636	2.92695	7.63673	3.04545	1.25343	1.19966	4.71646	2.0593	15.9684	7.21414	25.0819	4.48579	5.52165	11.2662	2.8986
PAI3	2.1497	2.36787	3.06912	2.55129	2.5791	1.95956	3.15346	2.41918	6.67945	9.93377	8.95998	7.70951	10.7492	11.4516	18.369	5.89816
RNA14	7.20327	2.01906	3.20248	3.97045	11.2136	0.88076	0.901052	0.839069	8.6578	18.297	9.57229	16.567	7.90146	1.6153	5.39846	1.76098
TFC8	6.29419	3.66309	3.81934	3.36691	6.80063	0.814889	0.70227	0.734855	8.64878	18.6193	9.22622	18.8284	10.3097	2.58161	4.23996	1.34988
SOD2	0.69467	0.359033	0.649093	0.621081	6.04698	12.0457	10.9764	13.1934	1.8841	1.6645	2.10813	1.83315	1.826	16.5715	1.83851	27.6878
SLT2	6.22699	2.74982	3.41896	3.87903	2.93612	1.50198	2.71082	0.398452	12.2344	17.1879	14.8074	8.00692	10.4344	4.05361	6.60506	2.84812
HMT1	4.39408	3.63064	3.99802	5.33428	2.72368	1.48669	2.65162	1.97525	10.175	25.803	14.4351	4.93569	5.5167	4.45799	6.26252	2.2197
CTR86	4.5438	3.22127	3.66209	4.71147	2.49881	2.42718	3.10364	3.64331	8.0142	24.0203	14.5582	4.62988	5.31352	5.76436	6.59374	3.29428
HTB2	6.93431	3.89702	3.85452	2.77467	8.68294	1.01153	0.647701	0.887327	7.33089	19.6633	7.42049	20.063	10.8409	1.89794	2.96089	1.13256
CAT2	1.4031	1.15211	1.26521	1.5132	7.97574	13.1813	12.5955	12.0532	4.18177	3.25941	4.14375	4.81908	5.46391	8.92319	5.2827	12.7867
PAN3	4.90313	2.69261	3.32911	4.97653	2.67572	1.80225	2.62881	2.63052	8.71881	18.8503	12.7049	8.3215	8.27072	4.96093	9.27194	3.26226
YJR096W	1.86173	2.00709	2.72535	2.22532	1.87205	1.78868	2.6381	2.03098	5.63219	6.68207	7.47354	6.97218	9.20706	15.3267	13.5617	17.9952
HSP78	1.01825	0.53804	0.744761	0.787729	5.72017	9.72719	9.03966	9.99478	2.53132	2.19402	2.52609	2.11004	2.95977	17.5897	2.36265	30.1558
HAP2	2.88051	1.66367	3.66137	6.43596	1.49821	0.413724	1.0493	2.71161	8.70787	6.5164	8.37814	20.7449	10.3384	2.61597	17.8245	4.55944
MDH1	1.40284	1.67111	1.98529	1.38723	5.29263	9.39011	9.31328	5.75907	3.78007	3.93506	6.10254	5.68015	3.39215	14.8186	3.30417	22.7857
AHA1	5.76505	3.89677	3.99873	3.75148	2.82088	1.62131	2.14698	2.07613	8.96044	22.7819	15.1397	5.38756	7.13409	4.67569	7.50257	2.34075
TRX3	0.572438	0.436792	0.579971	0.555871	5.69324	10.7809	9.80604	7.28415	1.45318	1.58457	1.97657	1.4005	2.22892	20.3226	1.94856	33.3756
GDE1	2.78776	5.41323	5.18304	5.4398	2.22681	1.75635	0	1.98399	10.1972	18.946	16.6499	10.3152	4.77405	2.79366	6.13994	5.39299
HHT1	7.16313	3.88985	3.70361	3.38465	8.91163	0.888181	0.503955	0.94844	7.11191	20.0543	7.35727	19.5136	10.9304	1.62399	2.92908	1.08598
ACH1	1.22196	1.59367	1.75849	1.80993	1.59162	3.80388	3.53374	3.2661	3.80406	4.09374	5.25538	5.50521	4.32578	21.4828	4.50216	32.4515
FUN19	6.54163	3.04666	2.91543	2.31975	3.14199	0.55332	1.47942	0.855227	13.1203	9.7448	7.26144	13.0021	23.288	3.48097	5.77122	3.47772
SPS19	4.09822	2.28242	2.36489	3.58746	8.8578	9.68356	6.71727	7.37939	12.3177	7.71445	7.80688	7.84963	6.51109	5.15569	4.04108	3.63245
VID22	6.85538	6.96285	2.75048	2.05184	11.3965	3.97932	0	0	15.4654	25.9566	10.451	1.95783	9.85115	0	2.32065	0.000996748
DSE4	4.35333	4.01924	3.98305	3.835	3.37634	2.74626	2.63767	2.19162	15.1588	11.8921	9.413	10.2287	10.2967	6.24111	7.10238	2.52469
OYE2	2.88148	2.32048	3.07609	2.48915	2.18396	1.47959	2.5871	1.75715	8.00046	7.34526	8.61386	6.95747	13.8826	11.0253	19.3736	6.02637
UFD2	5.02051	3.09511	3.93605	3.75878	4.75324	3.8198	4.64938	5.02311	8.2262	19.5302	12.9648	4.56724	4.90789	5.11354	6.38317	4.25096
EAF7	7.11994	1.67342	4.7284	4.18713	10.6405	4.96147	5.38072	7.63703	17.3743	11.0995	10.7036	11.3983	1.78138	0	1.30848	0.00583678
CAF40	7.18843	3.34871	3.44453	4.13522	4.96893	1.83278	2.2236	2.00863	9.9976	21.1468	15.4964	5.06781	7.24156	3.27948	6.24629	2.37317
TSA2	2.65573	2.55608	3.01932	3.23928	2.14781	1.18992	2.17667	1.90706	7.35922	9.26892	8.20375	7.61365	15.6339	9.86346	18.3089	4.85632
SWC3	6.12036	4.04163	4.36118	3.3173	7.31114	1.835	1.5334	1.37487	8.63678	17.6931	7.72192	16.41	12.022	2.60519	3.45799	1.55813
RCN1	2.92226	3.01135	5.02374	9.63918	1.3493	1.06883	0.985256	1.2749	8.4098	19.7151	21.9543	8.1679	3.95995	3.26554	6.83351	2.41911
NMD5	4.68041	2.54641	2.86086	4.62021	2.63932	6.33086	3.49102	2.33716	6.97164	17.9686	11.1077	5.48607	6.70789	10.851	6.89659	4.50426
CYC7	2.12286	2.85912	2.68553	3.29145	4.80398	9.33351	7.89651	9.84102	6.54484	6.38951	7.81105	10.165	2.78585	7.96979	4.01916	11.4809
POA1	4.41403	3.76046	3.95947	3.78426	3.40228	3.41098	3.89174	3.61554	8.636	17.1228	13.7584	5.32758	5.27209	6.77326	6.01019	6.86087
HSP30	2.01355	3.01002	2.71399	3.15286	0.950939	1.06255	1.12708	1.2262	6.10058	6.92096	9.54517	8.10481	11.637	10.9852	20.1434	11.3056
TOP2	6.401	4.22493	3.85521	2.85819	5.84431	1.34207	1.33281	1.20726	8.7702	18.2116	7.72612	13.964	12.4334	6.33051	3.58008	1.91823
CYC1	3.82141	4.0755	4.11131	4.38659	4.8744	8.00509	7.58457	8.31319	10.161	9.6332	11.611	14.5528	0.966666	2.40285	1.37204	4.12839
ATO2	2.67907	2.84046	4.23967	3.6122	7.13543	11.4695	8.83228	8.09138	8.05466	9.20215	10.6946	9.4423	2.8803	3.56635	3.05605	4.20362
ACO2	1.26064	0.9084	1.21216	1.1219	7.88239	14.2112	13.8739	12.1007	3.68273	2.56309	3.46751	2.68665	2.21486	12.3528	2.02854	18.4325
YHL012W	0.213699	0.144366	0.353873	0.889123	5.17931	13.0035	9.17474	46.5822	1.34572	0.53793	1.04002	1.4816	0.589784	7.57184	1.44299	10.4493
PRX1	0.969548	1.00715	1.15232	1.09511	5.48532	9.80112	9.38767	10.2355	2.50313	2.67907	3.48242	2.91895	2.67577	15.212	2.41778	28.9771
CTF4	3.6567	2.99839	5.26117	4.78045	4.36611	1.89681	3.86903	4.82251	6.77667	12.5939	13.9623	11.8472	4.63662	3.82768	6.53302	8.1715
ISW1	6.6914	4.31313	4.2224	3.98437	7.37868	1.92974	1.85729	2.32235	7.50927	17.9397	8.36461	17.9687	7.61028	2.32106	3.77623	1.81076
TAF7	8.28542	4.10077	3.69304	4.07473	8.79085	0.597807	0.361756	0.544322	10.2352	18.9914	8.16459	16.7652	10.1386	1.31025	3.18487	0.761152
DHR2	6.56748	4.34309	2.3481	5.49514	9.5585	2.40633	1.99752	2.05718	11.4812	16.9434	12.0686	9.20375	5.9872	2.81797	5.12819	1.59632
BRE5	5.53303	3.25479	4.07665	3.88854	4.08287	3.08521	2.62684	2.64819	8.69643	12.9158	11.3935	11.3663	7.85623	6.02866	8.80482	3.74215
SRX1	2.57072	3.89395	3.68771	4.17777	1.18223	1.55656	1.85543	1.8722	8.32207	10.2298	11.0162	8.37053	11.5763	11.4677	13.4529	4.76783
LYS4	1.22426	1.35066	1.28137	1.27671	6.90071	12.021	10.8926	11.1537	3.03374	2.90933	3.92131	3.71926	2.70136	14.0608	2.62309	20.9302
RIA1	5.75272	3.45154	4.60392	3.99423	3.57841	1.42105	3.27226	2.07328	8.38506	18.7003	14.3851	5.4916	7.60054	5.22208	8.82307	3.24478
SPG1	0.148873	0.304525	0.280879	0.396497	14.9203	20.8176	11.702	19.3611	1.03331	0.491147	0.695563	0.759341	1.49301	8.68575	0.905372	18.0048
TFC6	6.91563	3.99064	4.49597	3.81549	7.42414	0.998439	1.14077	1.34771	7.22414	16.8343	7.52801	19.0173	10.5003	2.84453	4.07919	1.84346
DCS2	3.82229	2.68435	3.55969	2.81042	3.16489	1.86011	3.65326	2.85531	7.54552	11.501	9.44117	5.40075	11.0828	9.81038	12.8764	7.93158
MBP1	5.1148	4.3153	4.93135	4.92214	9.09103	0.952057	0.90589	1.536	6.59593	13.5988	7.37726	23.1509	8.46464	2.55269	4.163	2.32817
LIP2	1.3559	2.31664	2.42148	2.26194	5.72487	11.2918	10.9215	10.3495	2.91361	4.33451	6.99934	7.66664	2.95093	8.77842	6.15427	13.5586
PTH1	1.80282	2.22998	2.34786	2.37312	3.43832	7.2618	6.96686	7.27084	4.57838	4.04391	6.70578	7.61561	4.46367	12.567	5.78386	20.5502
SDC25	0.429128	1.52391	1.93302	5.11701	1.25374	5.56295	4.25205	19.1364	1.80396	5.36823	5.40953	10.8215	2.13649	12.6945	14.3583	8.19922
SSU1	4.19569	3.76494	4.69473	2.55153	7.08115	6.81568	5.39386	5.88267	7.87741	10.9822	12.7625	7.86921	5.5783	6.36223	5.69448	2.49347
NAT4	4.06069	4.97753	4.50329	6.01523	3.49647	0.537576	1.11176	1.71789	10.6991	11.86	12.4381	15.2939	9.16457	3.92891	8.2145	1.98043
HAA1	5.59872	5.02997	5.37489	3.96496	1.8172	0.596479	1.13643	0.747948	7.40427	17.1496	8.44467	18.3321	12.4471	3.47231	6.30294	2.18047
ARC18	5.89972	2.92362	2.98491	4.02508	7.07761	2.82012	3.57887	3.59953	8.10602	12.27	10.469	9.53137	7.6294	6.41304	9.02271	3.64895
IOC2	9.51299	3.1486	2.99194	2.18245	13.5593	0.917402	0.980059	0.885392	12.2993	15.4262	5.24681	12.5024	16.0876	1.39689	2.1421	0.72054
PST1	2.28321	3.30484	3.9417	4.79057	2.07977	3.58982	1.52105	8.85706	8.86046	7.51859	10.3891	9.62264	6.66128	10.0133	12.2207	4.34592
FMP46	1.84356	2.0242	2.05233	3.5568	3.35021	6.93695	6.46472	6.76305	4.84776	5.2873	5.35503	8.53218	5.08986	12.1983	6.10487	19.5929
COA2	2.55079	3.96377	3.65601	1.97026	1.87273	2.37809	2.02539	1.11685	6.88093	7.57548	9.10886	7.2065	11.3307	12.5551	10.8118	14.9967
TAP42	6.02489	4.27296	4.44118	5.15912	3.0144	1.47452	2.58554	2.55273	9.29212	21.854	13.6365	5.48375	6.51737	4.52572	6.72089	2.44434
YFH7	5.21404	4.91751	4.82612	5.51878	2.60867	1.80274	2.66491	1.76776	10.2359	18.9176	14.5308	7.98797	7.09263	4.30557	5.5217	2.08729
APL5	5.78837	4.57308	4.85912	5.43987	2.6569	1.12327	1.96688	1.78454	8.40427	21.8053	16.2148	5.62533	5.89797	4.79834	7.03537	2.02657
COX12	4.49415	6.27885	6.99284	6.48055	0.582887	0.994921	1.04256	0.763823	12.4999	14.1586	17.701	16.6662	1.95334	3.00746	3.83791	2.54512
RAD4	5.54985	5.08575	5.42287	4.81551	6.14409	0.653141	1.02625	0.480827	7.86266	18.5773	8.26477	17.7446	10.4567	2.17315	5.25258	0.489895
FMP40	1.91889	2.0709	1.83332	1.94491	2.616	5.1061	5.11274	5.15794	4.2413	4.78702	5.54852	4.92556	3.22079	17.2582	3.25354	31.0043
CYC8	5.0608	4.38145	3.27175	8.54711	4.91889	0.867167	0.917878	0.705356	9.1728	23.91	13.6476	6.55975	7.35148	3.90235	5.10767	1.67797
RIM20	5.66979	3.9515	5.39806	4.101	4.84275	1.2198	2.70021	3.53235	9.70151	21.155	12.4237	4.6106	5.7525	4.61546	6.5623	3.76344
ASE1	0.192557	0.106748	0.343771	0.94127	3.45169	13.925	10.3405	29.9137	0.739308	0.667386	1.26038	1.29096	0.529705	14.9658	1.39267	19.9386
FOL3	3.33367	2.01153	2.47543	1.946	3.92459	6.34349	6.6376	5.02229	6.16891	7.72207	6.44768	3.96632	4.95881	13.8236	4.34328	20.8747
CIT1	1.3119	1.30792	1.63567	1.55098	5.87933	12.4514	11.3921	10.937	2.84163	2.7713	4.30475	4.49246	2.98702	13.0705	3.32946	19.7366
NTG2	5.94973	5.11675	4.96337	4.97074	5.93102	0.843764	1.02105	0.84153	7.59129	14.2762	7.83025	22.3293	10.6036	1.62564	4.39644	1.70929
SPO21	2.04858	1.92229	3.86781	6.11506	1.91549	4.4296	3.61982	7.17396	4.57419	7.31401	8.65427	13.9939	3.22649	9.50915	9.27946	12.3559
SPT6	7.02912	3.95069	4.7616	4.56544	7.40881	1.15359	1.3048	1.40745	9.28501	17.762	12.7621	10.4386	7.32042	3.13847	5.23361	2.47822
TES1	3.76226	3.00614	2.96446	3.80147	6.35023	7.44241	5.57921	6.91922	9.13635	7.16126	8.183	8.87577	5.58078	8.12928	4.92424	8.18392
RTC3	2.44225	2.06632	3.23369	2.67844	2.80059	1.53582	3.71178	2.67232	4.7563	7.01475	7.88685	5.92772	11.4215	12.8144	20.7366	8.3007
YCR102C	4.1317	3.02059	4.68861	3.82307	1.30311	0.908065	1.78757	1.40528	8.66835	8.85853	11.5297	9.199	11.6561	8.4321	15.4143	5.17394
TFC3	6.43775	4.27176	4.39032	4.79899	7.55128	1.70685	1.80504	2.20326	7.62362	16.341	7.36852	17.2277	9.22865	2.52512	4.0286	2.49154
COX4	4.35272	6.38567	6.24545	6.65796	1.09864	2.13005	2.07568	1.87099	12.4014	12.5994	14.916	17.6984	1.44039	3.18781	3.01772	3.92178
YNL134C	4.49456	3.03721	4.93056	3.52673	1.46774	0.938036	1.75789	1.21421	9.81004	8.45044	11.9655	8.68318	11.8721	7.69206	14.8851	5.27463
HOM3	5.51417	3.99664	4.63539	4.54397	3.04573	1.74872	3.39486	2.59448	10.1569	17.8282	11.4641	5.97621	7.19721	6.05903	8.80765	3.03668
DCS1	4.851	2.98949	4.26089	4.0383	3.0713	1.63166	3.1701	2.45641	8.70308	13.0961	10.2363	7.07626	10.1889	7.95895	11.6864	4.58494
PET191	3.67783	3.68338	4.30773	3.26933	5.94247	9.55989	9.81812	7.39685	8.97523	7.70206	9.65598	9.80857	1.60928	6.35764	1.88078	6.35486
MCT1	7.27516	6.53686	6.40789	7.35768	1.30703	0.349031	0.9317	0.729955	13.1743	14.6194	17.564	20.2995	1.36286	0.411978	1.27613	0.396569
RAP1	6.34168	5.04992	4.6685	4.32102	7.48572	1.47212	1.4382	1.72757	7.15583	16.427	7.04481	17.8119	10.3145	2.77543	3.68355	2.28225
