ETS1-1	0
ETS1-2	0
ETS2-1	0
ETS2-2	12
HRA1	19
ICR1	144
IRT1	128
ITS1-1	0
ITS1-2	0
ITS2-1	0
ITS2-2	0
LSR1	114
NME1	27
PWR1	0
Q0010	0
Q0017	0
Q0020	24
Q0032	0
Q0045	6
Q0050	6
Q0055	2
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	1
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	1
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0158	74
Q0160	0
Q0182	0
Q0250	2
Q0255	0
Q0275	2
Q0285	0
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	16
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RME2	221
RME3	0
RNA170	13
RPR1	22
RUF20	72
RUF21	2
RUF22	0
RUF23	6
RUF5-1	0
RUF5-2	1
SCR1	268
SRG1	284
YAL001C	820
YAL002W	657
YAL003W	25775
YAL004W	0
YAL005C	19975
YAL007C	1945
YAL008W	650
YAL009W	467
YAL010C	426
YAL011W	621
YAL012W	9800
YAL013W	903
YAL014C	836
YAL015C	672
YAL016C-A	103
YAL016C-B	0
YAL016W	2193
YAL017W	839
YAL018C	4
YAL019W	1106
YAL019W-A	19
YAL020C	403
YAL021C	1531
YAL022C	1004
YAL023C	5251
YAL024C	528
YAL025C	2123
YAL026C	1181
YAL026C-A	85
YAL027W	305
YAL028W	283
YAL029C	1337
YAL030W	871
YAL031C	783
YAL031W-A	40
YAL032C	479
YAL033W	355
YAL034C	546
YAL034C-B	5
YAL034W-A	239
YAL035W	5296
YAL036C	1962
YAL037C-A	8
YAL037C-B	3334
YAL037W	106
YAL038W	40141
YAL039C	1145
YAL040C	1765
YAL041W	1309
YAL042C-A	138
YAL042W	2973
YAL043C	1228
YAL044C	3033
YAL044W-A	377
YAL045C	63
YAL046C	562
YAL047C	343
YAL047W-A	1
YAL048C	325
YAL049C	725
YAL051W	681
YAL053W	1923
YAL054C	385
YAL055W	363
YAL056C-A	22
YAL056W	983
YAL058W	550
YAL059C-A	0
YAL059W	621
YAL060W	2176
YAL061W	946
YAL062W	448
YAL063C	265
YAL063C-A	14
YAL064C-A	47
YAL064W	3
YAL064W-B	11
YAL065C	9
YAL066W	5
YAL067C	97
YAL067W-A	0
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	3365
YAR002W	1408
YAR003W	780
YAR007C	1510
YAR008W	582
