ETS1-1	0
ETS1-2	0
ETS2-1	0
ETS2-2	4
HRA1	11
ICR1	103
IRT1	147
ITS1-1	0
ITS1-2	0
ITS2-1	0
ITS2-2	0
LSR1	25
NME1	17
PWR1	0
Q0010	0
Q0017	0
Q0020	3
Q0032	0
Q0045	0
Q0050	1
Q0055	1
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	1
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0158	8
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0285	1
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	9
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RME2	163
RME3	0
RNA170	9
RPR1	18
RUF20	54
RUF21	1
RUF22	0
RUF23	25
RUF5-1	0
RUF5-2	0
SCR1	21
SRG1	189
YAL001C	502
YAL002W	350
YAL003W	20159
YAL004W	0
YAL005C	8158
YAL007C	1229
YAL008W	366
YAL009W	286
YAL010C	287
YAL011W	532
YAL012W	9858
YAL013W	743
YAL014C	846
YAL015C	519
YAL016C-A	125
YAL016C-B	0
YAL016W	1619
YAL017W	580
YAL018C	10
YAL019W	914
YAL019W-A	14
YAL020C	292
YAL021C	1195
YAL022C	873
YAL023C	4298
YAL024C	404
YAL025C	2374
YAL026C	906
YAL026C-A	52
YAL027W	198
YAL028W	236
YAL029C	1049
YAL030W	555
YAL031C	597
YAL031W-A	22
YAL032C	453
YAL033W	327
YAL034C	485
YAL034C-B	4
YAL034W-A	197
YAL035W	4937
YAL036C	2201
YAL037C-A	9
YAL037C-B	3041
YAL037W	124
YAL038W	35447
YAL039C	1046
YAL040C	1994
YAL041W	1000
YAL042C-A	159
YAL042W	2698
YAL043C	1006
YAL044C	965
YAL044W-A	244
YAL045C	48
YAL046C	395
YAL047C	241
YAL047W-A	2
YAL048C	212
YAL049C	838
YAL051W	537
YAL053W	2393
YAL054C	252
YAL055W	216
YAL056C-A	13
YAL056W	882
YAL058W	381
YAL059C-A	2
YAL059W	578
YAL060W	1559
YAL061W	1020
YAL062W	352
YAL063C	185
YAL063C-A	4
YAL064C-A	43
YAL064W	0
YAL064W-B	6
YAL065C	10
YAL066W	0
YAL067C	48
YAL067W-A	0
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	2231
YAR002W	1016
YAR003W	491
YAR007C	1030
YAR008W	473
